"SECONDS";"PID";"VALUE";"UNITS"
"39,0551666";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"39,0553615";"Durchschnittsgeschwindigkeit";"0";"km/h"
"39,0554948";"zurückgelegte Strecke (gesamt)";"0";"km"
"39,2733319";"Kühlmitteltemperatur";"60";"℃"
"39,6527049";"Motordrehzahl";"873";"rpm"
"39,6533936";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"39,6549617";"verbrauchte Spritmenge";"0";"l"
"39,655097";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"39,6570764";"verbrauchte Spritmenge (gesamt)";"0";"l"
"39,657251";"Treibstoffkosten";"0";"€"
"39,6677226";"Treibstoffkosten (gesamt)";"0";"€"
"40,3312299";"Geschwindigkeit";"0";"km/h"
"40,3319993";"zurückgelegte Strecke";"0";"km"
"40,3322325";"Fahrzeugbeschleunigung";"0";"m_sec2"
"40,3332454";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"40,3334593";"Durchschnittsgeschwindigkeit";"0";"km/h"
"40,3335954";"zurückgelegte Strecke (gesamt)";"0";"km"
"40,5705104";"Kühlmitteltemperatur";"61";"℃"
"40,799389";"Motordrehzahl";"896";"rpm"
"40,7999284";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"40,8015311";"verbrauchte Spritmenge";"0";"l"
"40,8016314";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"40,8032227";"verbrauchte Spritmenge (gesamt)";"0";"l"
"40,8033136";"Treibstoffkosten";"0";"€"
"40,8241338";"Treibstoffkosten (gesamt)";"0";"€"
"41,0278773";"Geschwindigkeit";"0";"km/h"
"41,0286099";"zurückgelegte Strecke";"0";"km"
"41,0288038";"Fahrzeugbeschleunigung";"0";"m_sec2"
"41,0297297";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"41,0301179";"Durchschnittsgeschwindigkeit";"0";"km/h"
"41,0303116";"zurückgelegte Strecke (gesamt)";"0";"km"
"41,2576836";"Kühlmitteltemperatur";"61";"℃"
"41,4963983";"Motordrehzahl";"879";"rpm"
"41,4976422";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"41,5007247";"verbrauchte Spritmenge";"0";"l"
"41,5010291";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"41,5047475";"verbrauchte Spritmenge (gesamt)";"0";"l"
"41,5051823";"Treibstoffkosten";"0";"€"
"41,516036";"Treibstoffkosten (gesamt)";"0";"€"
"41,7251168";"Geschwindigkeit";"0";"km/h"
"41,7265676";"zurückgelegte Strecke";"0";"km"
"41,727273";"Fahrzeugbeschleunigung";"0";"m_sec2"
"41,7297947";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"41,7306964";"Durchschnittsgeschwindigkeit";"0";"km/h"
"41,7310242";"zurückgelegte Strecke (gesamt)";"0";"km"
"41,9608918";"Kühlmitteltemperatur";"61";"℃"
"42,2208127";"Motordrehzahl";"808";"rpm"
"42,222369";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"42,2268176";"verbrauchte Spritmenge";"0";"l"
"42,2271733";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"42,2310055";"verbrauchte Spritmenge (gesamt)";"0";"l"
"42,2313359";"Treibstoffkosten";"0";"€"
"42,2485624";"Treibstoffkosten (gesamt)";"0";"€"
"42,4544429";"Geschwindigkeit";"0";"km/h"
"42,4558827";"zurückgelegte Strecke";"0";"km"
"42,4563659";"Fahrzeugbeschleunigung";"0";"m_sec2"
"42,458703";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"42,4591549";"Durchschnittsgeschwindigkeit";"0";"km/h"
"42,4594563";"zurückgelegte Strecke (gesamt)";"0";"km"
"42,6852555";"Kühlmitteltemperatur";"61";"℃"
"42,9036045";"Motordrehzahl";"899";"rpm"
"42,9042744";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"42,9056049";"verbrauchte Spritmenge";"0";"l"
"42,9057374";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"42,9077149";"verbrauchte Spritmenge (gesamt)";"0";"l"
"42,907851";"Treibstoffkosten";"0";"€"
"42,9277292";"Treibstoffkosten (gesamt)";"0";"€"
"43,1328722";"Geschwindigkeit";"0";"km/h"
"43,1339115";"zurückgelegte Strecke";"0";"km"
"43,1340789";"Fahrzeugbeschleunigung";"0";"m_sec2"
"43,1357004";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"43,1359588";"Durchschnittsgeschwindigkeit";"0";"km/h"
"43,1360876";"zurückgelegte Strecke (gesamt)";"0";"km"
"43,3727952";"Kühlmitteltemperatur";"61";"℃"
"43,6082734";"Motordrehzahl";"1018";"rpm"
"43,6147438";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"43,6191436";"verbrauchte Spritmenge";"0";"l"
"43,6196448";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"43,6233341";"verbrauchte Spritmenge (gesamt)";"0";"l"
"43,6238281";"Treibstoffkosten";"0";"€"
"43,6439518";"Treibstoffkosten (gesamt)";"0";"€"
"43,8416809";"Geschwindigkeit";"0";"km/h"
"43,8431602";"zurückgelegte Strecke";"0";"km"
"43,8439003";"Fahrzeugbeschleunigung";"0";"m_sec2"
"43,8458693";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"43,8467604";"Durchschnittsgeschwindigkeit";"0";"km/h"
"43,847196";"zurückgelegte Strecke (gesamt)";"0";"km"
"44,7485021";"Kühlmitteltemperatur";"61";"℃"
"45,1101203";"Motordrehzahl";"1168";"rpm"
"45,1118023";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"45,1149218";"verbrauchte Spritmenge";"0";"l"
"45,1152701";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"45,1191151";"verbrauchte Spritmenge (gesamt)";"0";"l"
"45,1194322";"Treibstoffkosten";"0";"€"
"45,1319637";"Treibstoffkosten (gesamt)";"0";"€"
"45,3488664";"Geschwindigkeit";"5";"km/h"
"45,3499906";"Berechneter momentaner Verbrauch";"0";"l/100km"
"45,3503336";"zurückgelegte Strecke";"0,00209329402777778";"km"
"45,3507173";"Fahrzeugbeschleunigung";"0,921739385636366";"m_sec2"
"45,3538305";"Durchschnittsgeschwindigkeit";"0,316335275176979";"km/h"
"45,354165";"zurückgelegte Strecke (gesamt)";"0,00209329402777778";"km"
"45,358576";"Durchschnittsverbrauch (gesamt)";"0";"l/100km"
"45,6063841";"Kühlmitteltemperatur";"61";"℃"
"45,8275511";"Motordrehzahl";"1269";"rpm"
"45,8279948";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"45,8296293";"verbrauchte Spritmenge";"0";"l"
"45,8297622";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"45,8315095";"Durchschnittsverbrauch";"0";"l/100km"
"45,8317435";"verbrauchte Spritmenge (gesamt)";"0";"l"
"45,8318822";"Treibstoffkosten";"0";"€"
"45,8543994";"Treibstoffkosten (gesamt)";"0";"€"
"46,0527971";"Geschwindigkeit";"8";"km/h"
"46,0538119";"Berechneter momentaner Verbrauch";"0";"l/100km"
"46,0541439";"zurückgelegte Strecke";"0,00365731136111111";"km"
"46,0545484";"Fahrzeugbeschleunigung";"1,18397447919331";"m_sec2"
"46,0569707";"Durchschnittsgeschwindigkeit";"0,53684150803365";"km/h"
"46,0572841";"zurückgelegte Strecke (gesamt)";"0,00365731136111111";"km"
"46,0623749";"Durchschnittsverbrauch (gesamt)";"0";"l/100km"
"46,2818412";"Kühlmitteltemperatur";"61";"℃"
"46,5126358";"Motordrehzahl";"1039";"rpm"
"46,5138975";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"46,5175489";"verbrauchte Spritmenge";"0";"l"
"46,5179021";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"46,5214507";"Durchschnittsverbrauch";"0";"l/100km"
"46,5222699";"verbrauchte Spritmenge (gesamt)";"0";"l"
"46,5228127";"Treibstoffkosten";"0";"€"
"46,5378278";"Treibstoffkosten (gesamt)";"0";"€"
"46,7361551";"Geschwindigkeit";"10";"km/h"
"46,7372914";"Berechneter momentaner Verbrauch";"0";"l/100km"
"46,7377619";"zurückgelegte Strecke";"0,00555624330555556";"km"
"46,7384309";"Fahrzeugbeschleunigung";"0,400389434779844";"m_sec2"
"46,741213";"Durchschnittsgeschwindigkeit";"0,793441710930937";"km/h"
